Participant,Mode,Route,GlobalTrial,NodeID,IsDecisionNode,EnterTime(s),LeaveTime(s),TimeSpentInNode(s)
P01,SoundAndVisual,T1,0,G,True,22.67,23.85,1.18
P01,SoundAndVisual,T1,0,J,True,25.59,26.55,0.96
P01,SoundAndVisual,T1,0,D,True,27.53,28.39,0.86
P01,SoundAndVisual,T1,0,E,True,30.75,32.21,1.46
P01,SoundAndVisual,T1,0,D,True,34.45,35.33,0.88
P01,SoundAndVisual,T1,0,C,True,36.47,37.35,0.88
P01,SoundAndVisual,T1,0,B,True,38.29,40.77,2.48
P01,SoundAndVisual,T1,0,H,True,41.73,42.75,1.02
P01,SoundAndVisual,T1,0,H,True,44.57,45.55,0.98
P01,SoundAndVisual,T1,0,B,True,46.47,47.15,0.68
P01,SoundAndVisual,T1,0,K,True,48.85,49.47,0.62
P01,SoundAndVisual,T1,0,B,True,51.09,51.93,0.84
P01,SoundAndVisual,T1,0,H,True,52.93,53.82,0.89
P01,SoundAndVisual,T1,0,I,True,54.87,55.75,0.88
P01,SoundAndVisual,T1,0,F,True,57.05,57.73,0.68
P01,SoundAndVisual,T1,0,C,True,60.31,61.05,0.74
P01,SoundAndVisual,T1,0,D,True,62.21,63.41,1.20
P01,SoundAndVisual,T1,0,E,True,65.55,66.11,0.56
P01,SoundAndVisual,T1,0,D,True,68.37,69.07,0.70
P01,SoundAndVisual,T1,0,J,True,70.05,70.93,0.88
P01,SoundAndVisual,T1,0,K,True,0.00,9.67,9.67
P01,SoundAndVisual,T1,0,B,True,11.59,12.89,1.30
P01,SoundAndVisual,T1,0,C,True,13.89,14.79,0.90
P01,SoundAndVisual,T1,0,C,True,20.17,21.61,1.44
P01,SoundAndVisual,T1,0,C,True,22.01,23.11,1.10
P01,SoundAndVisual,T1,0,D,True,24.25,25.21,0.96
P01,SoundAndVisual,T1,0,E,True,27.41,28.17,0.76
P01,SoundAndVisual,T1,0,D,True,30.47,31.35,0.88
P01,SoundAndVisual,T1,0,C,True,32.49,33.09,0.60
P01,SoundAndVisual,T2,0,B,True,0.00,1.87,1.87
P01,SoundAndVisual,T2,0,A,True,2.87,5.11,2.24
P01,SoundAndVisual,T2,0,B,True,6.37,8.09,1.72
P01,SoundAndVisual,T2,0,C,True,9.09,10.13,1.04
P01,SoundAndVisual,T2,0,D,True,11.27,12.17,0.90
P01,SoundAndVisual,T2,0,D,True,20.17,20.61,0.44
P01,SoundAndVisual,T1,1,K,True,0.02,4.07,4.06
P01,SoundAndVisual,T1,1,B,True,5.57,6.49,0.92
P01,SoundAndVisual,T1,0,K,True,0.00,2.79,2.79
P01,SoundAndVisual,T1,0,B,True,4.31,5.09,0.78
P01,SoundAndVisual,T2,1,B,True,0.02,2.10,2.08
P01,SoundAndVisual,T2,1,C,True,3.04,4.38,1.34
P01,SoundAndVisual,T2,1,D,True,5.50,6.86,1.36
P01,SoundAndVisual,T3,2,L,True,0.02,2.20,2.18
P01,SoundAndVisual,T3,2,G,True,3.76,4.64,0.88
P01,SoundAndVisual,T3,2,F,True,5.72,6.48,0.76
P01,SoundAndVisual,T4,3,F,True,0.02,3.12,3.10
P01,SoundAndVisual,T4,3,I,True,4.40,5.22,0.82
P01,SoundAndVisual,T4,3,H,True,6.20,7.08,0.88
P01,SoundAndVisual,T4,3,B,True,8.08,9.00,0.92
P01,SoundOnly,T1,4,K,True,0.01,2.08,2.06
P01,SoundAndVisual,T4,0,F,True,0.00,13.93,13.93
P01,SoundAndVisual,T4,0,I,True,15.19,16.05,0.86
P01,SoundAndVisual,T4,0,H,True,17.05,17.95,0.90
P01,SoundAndVisual,T4,0,B,True,18.95,19.85,0.90
P01,SoundAndVisual,T2,1,B,True,0.00,18.31,18.31
P01,SoundAndVisual,T2,1,C,True,19.29,20.17,0.88
P01,SoundAndVisual,T2,1,D,True,21.29,22.37,1.08
P01,SoundAndVisual,T1,2,K,True,0.02,3.86,3.84
P01,SoundAndVisual,T1,2,B,True,5.44,6.12,0.68
P01,SoundAndVisual,T3,3,L,True,0.02,2.64,2.62
P01,SoundAndVisual,T3,3,G,True,4.16,5.46,1.30
P01,SoundAndVisual,T3,3,F,True,6.54,7.32,0.78
P01,SoundOnly,T1,4,K,True,0.02,1.50,1.48
P01,SoundOnly,T1,4,B,True,3.00,3.70,0.70
P01,SoundOnly,T3,5,L,True,0.02,0.48,0.46
P01,SoundOnly,T3,5,G,True,2.02,2.76,0.74
P01,SoundOnly,T3,5,F,True,3.82,4.44,0.62
P01,SoundOnly,T4,6,F,True,0.02,1.04,1.02
P01,SoundOnly,T4,6,F,True,1.66,2.80,1.14
P01,SoundOnly,T4,6,I,True,4.08,4.74,0.66
P01,SoundOnly,T4,6,H,True,5.68,6.56,0.88
P01,SoundOnly,T4,6,B,True,7.46,8.34,0.88
P01,SoundOnly,T2,7,B,True,0.02,0.78,0.76
P01,SoundOnly,T2,7,B,True,1.52,2.96,1.44
P01,SoundOnly,T2,7,C,True,3.86,4.80,0.94
P01,SoundOnly,T2,7,D,True,5.92,6.82,0.90
P01,VisualOnly,T4,8,F,True,0.02,1.62,1.60
P01,VisualOnly,T4,8,C,True,4.16,4.78,0.62
P01,VisualOnly,T4,8,C,True,5.86,6.76,0.90
P01,VisualOnly,T4,8,B,True,7.76,8.38,0.62
P01,VisualOnly,T3,9,L,True,0.00,1.56,1.56
P01,VisualOnly,T3,9,G,True,3.06,4.28,1.22
P01,VisualOnly,T3,9,F,True,5.40,6.04,0.64
P01,SoundAndVisual,T2,0,B,True,0.00,4.18,4.18
P01,SoundAndVisual,T2,0,K,True,5.78,6.48,0.70
P01,SoundAndVisual,T2,0,B,True,8.19,9.08,0.88
P01,SoundAndVisual,T2,0,C,True,10.08,10.96,0.88
P01,SoundAndVisual,T2,0,D,True,12.12,13.02,0.90
P01,SoundAndVisual,T3,1,L,True,0.02,2.18,2.16
P01,SoundAndVisual,T3,1,G,True,3.86,5.00,1.14
P01,SoundAndVisual,T3,1,F,True,6.12,6.74,0.62
P01,SoundAndVisual,T1,2,K,True,0.01,1.68,1.66
P01,SoundAndVisual,T1,2,B,True,3.22,3.88,0.66
P01,SoundAndVisual,T4,3,F,True,0.02,2.00,1.98
